"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3543","Заполняем поля №1","chromium","Mon Jul 14 20:08:01 MSK 2025","passed","Mon Jul 14 20:08:05 MSK 2025","","suites/auth2.spec.ts","",""
"","4850","Поиск тура и последующая сверка стоимости на странице","chromium","Mon Jul 14 20:08:01 MSK 2025","passed","Mon Jul 14 20:08:06 MSK 2025","","suites/auth2.spec.ts","",""
